pair,ann_return,ann_vol,sharpe,max_dd,win_rate,n_trades,avg_hold,report_ann_return
IH+50ETF,0.03138276472060708,0.03009439566056607,0.3782353647832971,-0.0345114838014462,0.5831485587583148,92,15.543478260869565,0.038
IF+300ETF,0.014466821461293522,0.021067622289456356,-0.2626389662147897,-0.014187980199492745,0.5990338164251208,68,13.411764705882353,0.058
IC+500ETF,0.06609111430946646,0.034823294148650805,1.3235713460282221,-0.022205197680802757,0.5825942350332595,99,15.252525252525253,0.047
IM+1000ETF,0.08102364213906377,0.0445236033604779,1.370590822243116,-0.029543021031163574,0.565356004250797,45,17.11111111111111,0.019
COMPOSITE,0.03846832184086035,0.018874503177116423,0.9784798925595812,-0.010541996808880127,0.5493348115299335,,,0.0657
