pair,strategy,span,ann_return,ann_vol,sharpe,max_dd,win_rate,n_trades,avg_hold_days,exposure,report_ann_return
IH+50ETF,conv,2019-01-02..2026-06-12,0.05646911733980997,0.021176583698318766,1.7221435647670258,-0.027279030151283523,0.616793893129771,111,11.801801801801801,0.7261640798226164,0.038
IH+50ETF,orient,2019-01-02..2026-06-12,0.030351725925312767,0.012225179557893163,0.8467545099269479,-0.016123636032967736,0.6678966789667896,62,4.370967741935484,0.15022172949002216,0.048
IF+300ETF,conv,2019-01-02..2026-06-12,0.04714776530597864,0.023527111695161324,1.1538928219379327,-0.043740498540336015,0.6165527714502658,123,10.707317073170731,0.7300443458980045,0.058
IF+300ETF,orient,2019-01-02..2026-06-12,0.03519883217306541,0.017072337330942728,0.8902607697141921,-0.03391198675029261,0.6956521739130435,63,5.111111111111111,0.17849223946784923,0.092
IC+500ETF,conv,2019-01-02..2026-06-12,0.07872977305431261,0.028766986912890403,2.0415684559579637,-0.0476816495001563,0.628755364806867,128,10.921875,0.7749445676274944,0.047
IC+500ETF,orient,2019-01-02..2026-06-12,0.028096809726238847,0.021042535625468425,0.3847829876756407,-0.04558924319455515,0.6541666666666667,68,3.5294117647058822,0.13303769401330376,0.105
IM+1000ETF,conv,2022-07-22..2026-06-12,0.07772773077003192,0.03322033834276963,1.7377225413658768,-0.04229246651757579,0.653997378768021,55,13.872727272727273,0.8108395324123273,0.019
IM+1000ETF,orient,2022-07-22..2026-06-12,0.03195481825734947,0.025309456495457135,0.4723459098971673,-0.040776414552711415,0.675,27,4.444444444444445,0.1275239107332625,0.121
COMPOSITE,galaxy,,0.05558140586236204,0.01832244772422669,1.9419570134897886,-0.035459504386293084,0.6031042128603105,1,1804.0,1.0,0.0657
