pair,regime,regime_label,start,end,days,mean_basis_rate,min_basis_rate,max_basis_rate
IH+50ETF,0,neutral,2019-01-02,2019-01-11,8,0.013934078111611087,-0.01392375540973685,0.06954331988448674
IH+50ETF,1,premium,2019-01-14,2019-01-14,1,0.06524116132820733,0.06524116132820733,0.06524116132820733
IH+50ETF,0,neutral,2019-01-15,2019-01-16,2,-0.104629710961076,-0.13135144975810692,-0.07790797216404508
IH+50ETF,-1,discount,2019-01-17,2019-01-18,2,-0.07870052028816624,-0.1458346897147292,-0.011566350861603276
IH+50ETF,0,neutral,2019-01-21,2019-01-29,7,0.013441625867016724,-0.004458174107722714,0.02775632232037806
IH+50ETF,1,premium,2019-01-30,2019-02-01,3,0.05843302300539177,0.03271660652886376,0.08036543387505649
IH+50ETF,0,neutral,2019-02-11,2019-02-12,2,-0.13669354572127834,-0.1975170227628468,-0.07587006867970987
IH+50ETF,1,premium,2019-02-13,2019-03-05,15,0.07127337763007094,0.005721559041461695,0.35144235341014923
IH+50ETF,0,neutral,2019-03-06,2019-03-06,1,-0.029483603278023646,-0.029483603278023646,-0.029483603278023646
IH+50ETF,1,premium,2019-03-07,2019-03-08,2,0.09685567119580667,0.07696364816761886,0.11674769422399447
IH+50ETF,0,neutral,2019-03-11,2019-03-12,2,-0.07657998861960688,-0.07920249091497208,-0.07395748632424169
IH+50ETF,1,premium,2019-03-13,2019-03-13,1,0.17685183276843297,0.17685183276843297,0.17685183276843297
IH+50ETF,0,neutral,2019-03-14,2019-03-14,1,-0.09785503924264655,-0.09785503924264655,-0.09785503924264655
IH+50ETF,1,premium,2019-03-15,2019-03-22,6,0.03144335536476305,0.004746529797010153,0.04699674863122453
IH+50ETF,0,neutral,2019-03-25,2019-04-03,8,0.019192543203399463,-0.014898439620238728,0.05093707081982337
IH+50ETF,1,premium,2019-04-04,2019-04-04,1,0.06616732863085736,0.06616732863085736,0.06616732863085736
IH+50ETF,0,neutral,2019-04-08,2019-04-22,11,0.018517243163000192,-0.16001371011954546,0.3379233991120594
IH+50ETF,1,premium,2019-04-23,2019-04-30,6,0.040549874618680926,0.015554184714545363,0.058694307463064276
IH+50ETF,0,neutral,2019-05-06,2019-05-06,1,-0.051598311567099604,-0.051598311567099604,-0.051598311567099604
IH+50ETF,1,premium,2019-05-07,2019-05-09,3,0.07844833546524443,0.049544474039040526,0.1237386481008293
IH+50ETF,0,neutral,2019-05-10,2019-05-15,4,-0.15428797708112088,-0.2970461213802176,-0.009509954726811898
IH+50ETF,-1,discount,2019-05-16,2019-06-18,23,-0.14106209089579208,-0.34090456045576956,-0.05713074863631499
IH+50ETF,0,neutral,2019-06-19,2019-06-19,1,0.10606702638645954,0.10606702638645954,0.10606702638645954
IH+50ETF,-1,discount,2019-06-20,2019-07-15,18,-0.09863310853941157,-0.3635795794784432,-0.012066782037271566
IH+50ETF,0,neutral,2019-07-16,2019-07-19,4,0.1053855314404958,-0.02980526667888829,0.41038943410798995
IH+50ETF,1,premium,2019-07-22,2019-07-25,4,0.015493629069589919,0.0093911151952559,0.02624081497470097
IH+50ETF,0,neutral,2019-07-26,2019-08-01,5,0.012456902311320298,-0.005242208009504843,0.036108043220659594
