short_availability,borrow_fee,ann_return,ann_vol,sharpe,max_dd,win_rate,n_trades,avg_hold_days,exposure
0.0,0.0,0.0017539096426724132,0.014080984530730171,-1.295796491893556,-0.03528607238521808,0.5283236994219653,59,14.661016949152541,0.479490022172949
0.0,0.03,0.0017539096426724132,0.014080984530730171,-1.295796491893556,-0.03528607238521808,0.5283236994219653,59,14.661016949152541,0.479490022172949
0.0,0.06,0.0017539096426724132,0.014080984530730171,-1.295796491893556,-0.03528607238521808,0.5283236994219653,59,14.661016949152541,0.479490022172949
0.0,0.08,0.0017539096426724132,0.014080984530730171,-1.295796491893556,-0.03528607238521808,0.5283236994219653,59,14.661016949152541,0.479490022172949
0.0,0.1,0.0017539096426724132,0.014080984530730171,-1.295796491893556,-0.03528607238521808,0.5283236994219653,59,14.661016949152541,0.479490022172949
0.25,0.0,0.008554241969409127,0.014443061783863823,-0.792474490649786,-0.03528607238521808,0.6071835803876853,36,48.72222222222222,0.9722838137472284
0.25,0.03,0.005226649553839335,0.014426615032756595,-1.0240344261364696,-0.03528607238521808,0.5781071835803877,36,48.72222222222222,0.9722838137472284
0.25,0.06,0.0019099688415238347,0.014411701587183311,-1.2552321493087315,-0.035387977254734526,0.5507411630558723,36,48.72222222222222,0.9722838137472284
0.25,0.08,-0.0002951071417172102,0.014402613498826619,-1.4091266938025278,-0.03604423131265955,0.5342075256556442,36,48.72222222222222,0.9722838137472284
0.25,0.1,-0.0024953597944612493,0.014394210301721022,-1.5628061090486933,-0.03966205311409099,0.5210946408209807,36,48.72222222222222,0.9722838137472284
0.5,0.0,0.02438031625995052,0.015349891689746166,0.28536463634310855,-0.03528607238521797,0.5997719498289624,36,48.72222222222222,0.9722838137472284
0.5,0.03,0.017632521236822463,0.015300457195038643,-0.15473255034138594,-0.03528607238521797,0.5706955530216647,36,48.72222222222222,0.9722838137472284
0.5,0.06,0.010928903899750875,0.015256727721327789,-0.594563674854628,-0.03550006889214019,0.5427594070695553,36,48.72222222222222,0.9722838137472284
0.5,0.08,0.006484226803598281,0.015230768725233594,-0.8873992797231204,-0.03672541083058689,0.5273660205245154,36,48.72222222222222,0.9722838137472284
0.5,0.1,0.0020589717252217365,0.01520738037205905,-1.179757975130406,-0.03894709617735437,0.5057012542759407,36,48.72222222222222,0.9722838137472284
0.75,0.0,0.04044538324973823,0.016692944886046203,1.2247918740107222,-0.03528607238521819,0.5992018244013683,36,48.72222222222222,0.9722838137472284
0.75,0.03,0.03018292080331908,0.016599195540954258,0.6134586931152979,-0.035287123531311804,0.5684150513112884,36,48.72222222222222,0.9722838137472284
0.75,0.06,0.020021066502556195,0.01651710567137634,0.0012754354773368282,-0.035623385618042014,0.5376282782212086,36,48.72222222222222,0.9722838137472284
0.75,0.08,0.013301905901113908,0.016468943696551844,-0.4067106076929812,-0.03752176202949942,0.5233751425313569,36,48.72222222222222,0.9722838137472284
0.75,0.1,0.006626736048120252,0.016426088033863355,-0.8141478314441011,-0.039619963210975384,0.5068415051311288,36,48.72222222222222,0.9722838137472284
1.0,0.0,0.05558140586236204,0.01832244772422669,1.9419570134897886,-0.035459504386293084,0.6014823261117446,36,48.72222222222222,0.9722838137472284
1.0,0.03,0.0417231999610892,0.018179689201059383,1.194915915274466,-0.03569671787749196,0.5632839224629419,36,48.72222222222222,0.9722838137472284
1.0,0.06,0.02804582817703527,0.018055632026274214,0.4456132117295663,-0.03593388214665394,0.5359179019384265,36,48.72222222222222,0.9722838137472284
1.0,0.08,0.019026884296322377,0.017983510407671963,-0.05411155450842797,-0.03831862008395559,0.5210946408209807,36,48.72222222222222,0.9722838137472284
1.0,0.1,0.010086580730569894,0.01791997633307371,-0.5532049309202248,-0.04152812290652841,0.5034207525655644,36,48.72222222222222,0.9722838137472284
