pair,ann_return,ann_vol,sharpe,max_dd,win_rate,n_trades,avg_hold,report_ann_return
IH+50ETF,0.022362944441153054,0.024278582821945158,0.0973262920032224,-0.031012740913799464,0.7245011086474501,55,17.072727272727274,0.038
IF+300ETF,0.017068885512788512,0.014281542297746096,-0.20523795162333938,-0.015430093605199868,0.8325942350332595,44,12.977272727272727,0.058
IC+500ETF,0.023745361142731403,0.008231651543639952,0.4549951030938856,-0.004419322671045944,0.947339246119734,22,7.636363636363637,0.047
IM+1000ETF,0.020161227466587217,0.010791237786119224,0.014940590670201306,-0.018520244246413187,0.973432518597237,7,5.285714285714286,0.019
COMPOSITE,0.018472282999050238,0.009073622588573171,-0.1683690263769276,-0.008100387780848095,0.7439024390243902,,,0.0657
